Data,Hora,Year,Month,Valor,Descrição,,
30/10/22,11:01,2022,Out,-50.00,Supermercado Poema Cu,,"-50,00"
31/10/22,18:40,2022,Out,100.00,Transferência_LuchtTransportesLtda,,"100,00"
01/11/22,09:27,2022,Nov,-50.00,Borracharia Cu,,"-50,00"
01/11/22,12:18,2022,Nov,-32.31,Beef & Cia Cu,,"-32,31"
01/11/22,17:14,2022,Nov,100.00,Transferência_LuchtTransportesLtda,,"100,00"
01/11/22,17:31,2022,Nov,-6.50,Barcolaco Cu,,"-6,50"
02/11/22,13:28,2022,Nov,200.00,Transferência_LuchtTransportesLtda,,"200,00"
02/11/22,14:29,2022,Nov,-143.93,Supermrcado Colatusso Cu,,"-143,93"
03/11/22,01:56,2022,Nov,-100.00,Cutisque Cu,,"-100,00"
03/11/22,09:35,2022,Nov,-50.00,Auto Posto Jiris Cu,,"-50,00"
03/11/22,13:29,2022,Nov,-10.00,Aniltondemori Cu,,"-10,00"
03/11/22,14:26,2022,Nov,200.00,Transferência_LuchtTransportesLtda,,"200,00"
03/11/22,14:27,2022,Nov,-49.56,Beef & Cia Cu,,"-49,56"
04/11/22,06:06,2022,Nov,0.01,Remuneração-Cta Pgto,,"0,01"
04/11/22,10:54,2022,Nov,-10.00,Barcolaco Cu,,"-10,00"
04/11/22,10:55,2022,Nov,50.00,Transferência_LuchtTransportesLtda,,"50,00"
04/11/22,11:57,2022,Nov,-7.00,Barcolaco Cu,,"-7,00"
05/11/22,06:07,2022,Nov,0.01,Remuneração-Cta Pgto,,"0,01"
05/11/22,06:07,2022,Nov,0.01,Remuneração-Cta Pgto,,"0,01"
05/11/22,18:56,2022,Nov,-56.44,Beef & Cia Cu,,"-56,44"
06/11/22,06:06,2022,Nov,0.01,Remuneração-Cta Pgto,,"0,01"
06/11/22,10:06,2022,Nov,-30.00,Auto Posto Jiris Cu,,"-30,00"
06/11/22,10:17,2022,Nov,-34.54,Beef & Cia Cu,,"-34,54"
07/11/22,11:56,2022,Nov,-69.40,Beef & Cia Cu,,"-69,40"
07/11/22,15:39,2022,Nov,778.40,Transferência entre Contas,,"778,40"
08/11/22,06:06,2022,Nov,0.02,Remuneração-Cta Pgto,,"0,02"
08/11/22,12:21,2022,Nov,-56.37,Beef & Cia Cu,,"-56,37"
08/11/22,12:37,2022,Nov,-47.90,Evandrodorosario Cu,,"-47,90"
08/11/22,15:07,2022,Nov,-45.00,Masterdil Cu,,"-45,00"
09/11/22,06:07,2022,Nov,0.04,Remuneração-Cta Pgto,,"0,04"
09/11/22,16:34,2022,Nov,1556.80,Transferência entre Contas,,"1556,80"
09/11/22,17:51,2022,Nov,1264.90,Transferência entre Contas,,"1264,90"
09/11/22,19:22,2022,Nov,-3000.00,Pix Enviado-Conta Transacional,,"-3000,00"
09/11/22,20:05,2022,Nov,-14.00,Barcolaco Cu,,"-14,00"
10/11/22,06:06,2022,Nov,0.04,Remuneração-Cta Pgto,,"0,04"
10/11/22,10:04,2022,Nov,-50.00,Mp *Panelamineira Os,,"-50,00"
10/11/22,10:05,2022,Nov,-50.00,Mp *Panelamineira Os,,"-50,00"
10/11/22,10:09,2022,Nov,-300.00,Auto Posto Jiris Cu,,"-300,00"
10/11/22,10:10,2022,Nov,-4.00,Auto Posto Jiris Cu,,"-4,00"
10/11/22,16:16,2022,Nov,-30.00,Barcolaco Cu,,"-30,00"
11/11/22,16:26,2022,Nov,1556.80,Transferência entre Contas,,"1556,80"
12/11/22,06:06,2022,Nov,0.03,Remuneração-Cta Pgto,,"0,03"
13/11/22,06:06,2022,Nov,0.02,Remuneração-Cta Pgto,,"0,02"
13/11/22,11:17,2022,Nov,-37.57,Beef & Cia Cu,,"-37,57"
13/11/22,15:06,2022,Nov,-31.00,H2 Senna Cu,,"-31,00"
13/11/22,18:16,2022,Nov,-110.00,Panela Mineira Cu,,"-110,00"
14/11/22,06:05,2022,Nov,0.03,Remuneração-Cta Pgto,,"0,03"
14/11/22,08:05,2022,Nov,-300.00,Pix Enviado-Conta Transacional,,"-300,00"
14/11/22,09:23,2022,Nov,-118.02,Supermercado Agricer10 Cu,,"-118,02"
14/11/22,12:07,2022,Nov,-49.99,Carvalhosbebidas Cu,,"-49,99"
14/11/22,13:05,2022,Nov,-8.99,Auto Posto Jiris Cu,,"-8,99"
14/11/22,14:09,2022,Nov,-700.00,Transferência para Lucht Transportes Ltda,,"-700,00"
14/11/22,19:58,2022,Nov,-30.00,Connectypay *Postocruz Cu,,"-30,00"
14/11/22,23:16,2022,Nov,-59.00,Bar Amigos Cowboy Cu,,"-59,00"
